จังหวัด,เขต,อำเภอ,ตำบล,flag,optional
กระบี่,3,เหนือคลอง,โคกยาง,เฉพาะ,
กระบี่,3,เหนือคลอง,ห้วยยูง,เฉพาะ,
กระบี่,3,เหนือคลอง,ปกาสัย,เฉพาะ,
จันทบุรี,1,เมืองจันทบุรี,,,
จันทบุรี,1,แหลมสิงห์,,,
จันทบุรี,1,มะขาม,ท่าหลวง,เฉพาะ,
จันทบุรี,1,มะขาม,มะขาม,เฉพาะ,
จันทบุรี,1,มะขาม,อ่างคีรี,เฉพาะ,
จันทบุรี,1,มะขาม,วังแซ้ม,เฉพาะ,
จันทบุรี,2,ท่าใหม่,,,
จันทบุรี,2,นายายอาม,,,
จันทบุรี,2,แก่งหางแมว,,,
จันทบุรี,2,เขาคิชฌกูฏ,,,
จันทบุรี,3,ขลุง,,,
จันทบุรี,3,โป่งน้ำร้อน,,,
จันทบุรี,3,สอยดาว,,,
จันทบุรี,3,มะขาม,ท่าหลวง,ยกเว้น,
จันทบุรี,3,มะขาม,มะขาม,ยกเว้น,
จันทบุรี,3,มะขาม,อ่างคีรี,ยกเว้น,
จันทบุรี,3,มะขาม,วังแซ้ม,ยกเว้น,
ชุมพร,1,เมืองชุมพร,วังใหม่,ยกเว้น,
ชุมพร,1,เมืองชุมพร,บ้านนา,ยกเว้น,
ชุมพร,1,เมืองชุมพร,หาดพันไกร,ยกเว้น,
ชุมพร,1,เมืองชุมพร,บางลึก,ยกเว้น,
ชุมพร,1,เมืองชุมพร,ถ้ำสิงห์,ยกเว้น,
ชุมพร,1,สวี,เขาทะลุ,ยกเว้น,
ชุมพร,1,สวี,เขาค่าย,ยกเว้น,
ชุมพร,2,เมืองชุมพร,วังใหม่,เฉพาะ,
ชุมพร,2,เมืองชุมพร,บ้านนา,เฉพาะ,
ชุมพร,2,เมืองชุมพร,หาดพันไกร,เฉพาะ,
ชุมพร,2,เมืองชุมพร,บางลึก,เฉพาะ,
ชุมพร,2,เมืองชุมพร,ถ้ำสิงห์,เฉพาะ,
ชุมพร,2,ท่าแซะ,,,
ชุมพร,2,ปะทิว,,,
ชุมพร,3,สวี,เขาทะลุ,เฉพาะ,
ชุมพร,3,สวี,เขาค่าย,เฉพาะ,
ชุมพร,3,หลังสวน,,,
ชุมพร,3,ละแม,,,
ชุมพร,3,พะโต๊ะ,,,
ชุมพร,3,ทุ่งตะโก,,,
ตาก,1,เมืองตาก,,,
ตาก,1,บ้านตาก,สมอโคน,เฉพาะ,
ตาก,1,บ้านตาก,ตากออก,เฉพาะ,
ตาก,1,บ้านตาก,แม่สลิด,เฉพาะ,
ตาก,1,วังเจ้า,,,
ตาก,1,สามเงา,,,
ตาก,2,แม่สอด,แม่กาษา,ยกเว้น,
ตาก,2,แม่สอด,ท่าสายลวด,ยกเว้น,
ตาก,2,แม่สอด,แม่ปะ,ยกเว้น,
ตาก,2,พบพระ,,,
ตาก,2,อุ้มผาง,,,
ตาก,3,แม่สอด,แม่กาษา,เฉพาะ,
ตาก,3,แม่สอด,ท่าสายลวด,เฉพาะ,
ตาก,3,แม่สอด,แม่ปะ,เฉพาะ,
ตาก,3,แม่ระมาด,,,
ตาก,3,ท่าสองยาง,,,
ตาก,3,บ้านตาก,สมอโคน,ยกเว้น,
ตาก,3,บ้านตาก,ตากออก,ยกเว้น,
ตาก,3,บ้านตาก,แม่สลิด,ยกเว้น,
น่าน,1,เมืองน่าน,,,
น่าน,1,ภูเพียง,,,
น่าน,1,ท่าวังผา,,,
น่าน,2,เวียงสา,,,
น่าน,2,นาน้อย,,,
น่าน,2,นาหมื่น,,,
น่าน,2,แม่จริม,,,
น่าน,2,บ้านหลวง,,,
น่าน,2,สันติสุข,,,
น่าน,3,ปัว,,,
น่าน,3,เชียงกลาง,,,
น่าน,3,สองแคว,,,
น่าน,3,บ่อเกลือ,,,
น่าน,3,เฉลิมพระเกียรติ,,,
น่าน,3,ทุ่งช้าง,,,
บึงกาฬ,1,เมืองบึงกาฬ,,,
บึงกาฬ,1,ศรีวิไล,,,
บึงกาฬ,2,เซกา,,,
บึงกาฬ,2,บึงโขงหลง,,,
บึงกาฬ,2,บุ่งคล้า,,,
บึงกาฬ,3,โซ่พิสัย,,,
บึงกาฬ,3,พรเจริญ,,,
บึงกาฬ,3,ปากคาด,,,
ประจวบคีรีขันธ์,1,เมืองประจวบคีรีข,ห้วยทราย,ยกเว้น,
ประจวบคีรีขันธ์,1,กุยบุรี,,,
ประจวบคีรีขันธ์,1,สามร้อยยอด,,,
ประจวบคีรีขันธ์,1,ปราณบุรี,ปากน้ำปราณ,เฉพาะ,
ประจวบคีรีขันธ์,1,ปราณบุรี,เทศบาลตำบลปากน้ำปราณ,เฉพาะ,
ประจวบคีรีขันธ์,2,หัวหิน,,,
ประจวบคีรีขันธ์,2,ปราณบุรี,ปากน้ำปราณ,ยกเว้น,
ประจวบคีรีขันธ์,2,ปราณบุรี,เทศบาลตำบลปากน้ำปราณ,ยกเว้น,
ประจวบคีรีขันธ์,3,ทับสะแก,,,
ประจวบคีรีขันธ์,3,บางสะพาน,,,
ประจวบคีรีขันธ์,3,บางสะพานน้อย,,,
ประจวบคีรีขันธ์,3,เมืองประจวบคีรีข,ห้วยทราย,เฉพาะ,
ปราจีนบุรี,1,เมืองปราจีนบุรี,,,
ปราจีนบุรี,1,บ้านสร้าง,,,
ปราจีนบุรี,1,ศรีมโหสถ,,,
ปราจีนบุรี,2,ศรีมหาโพธิ,,,
ปราจีนบุรี,2,ประจันตคาม,,,
ปราจีนบุรี,2,นาดี,นาดี,เฉพาะ,
ปราจีนบุรี,2,นาดี,บุพราหมณ์,เฉพาะ,
ปราจีนบุรี,2,นาดี,สำพันตา,เฉพาะ,
ปราจีนบุรี,2,นาดี,สะพานหิน,เฉพาะ,
ปราจีนบุรี,2,นาดี,เทศบาลตำบลนาดี,เฉพาะ,
ปราจีนบุรี,3,กบินทร์บุรี,,,
ปราจีนบุรี,3,นาดี,นาดี,ยกเว้น,
ปราจีนบุรี,3,นาดี,บุพราหมณ์,ยกเว้น,
ปราจีนบุรี,3,นาดี,สำพันตา,ยกเว้น,
ปราจีนบุรี,3,นาดี,สะพานหิน,ยกเว้น,
ปราจีนบุรี,3,นาดี,เทศบาลตำบลนาดี,ยกเว้น,
พะเยา,1,เมืองพะเยา,,,
พะเยา,1,แม่ใจ,,,
พะเยา,2,เชียงคำ,,,
พะเยา,2,จุน,,,
พะเยา,2,ภูซาง,,,
พะเยา,3,ดอกคำใต้,,,
พะเยา,3,ภูกามยาว,,,
พะเยา,3,ปง,,,
พะเยา,3,เชียงม่วน,,,
พัทลุง,1,เมืองพัทลุง,,,
พัทลุง,1,เขาชัยสน,,,
พัทลุง,2,ควนขนุน,,,
พัทลุง,2,ป่าพะยอม,,,
พัทลุง,2,ศรีบรรพต,,,
พัทลุง,2,ศรีนครินทร์,,,
พัทลุง,2,กงหรา,สมหวัง,เฉพาะ,
พัทลุง,2,กงหรา,ชะรัด,เฉพาะ,
พัทลุง,3,ตะโหมด,,,
พัทลุง,3,บางแก้ว,,,
พัทลุง,3,ป่าบอน,,,
พัทลุง,3,ปากพะยูน,,,
พัทลุง,3,กงหรา,สมหวัง,ยกเว้น,
พัทลุง,3,กงหรา,ชะรัด,ยกเว้น,
พิจิตร,1,เมืองพิจิตร,,,
พิจิตร,1,สามง่าม,,,
พิจิตร,1,วชิรบารมี,,,
พิจิตร,2,ตะพานหิน,,,
พิจิตร,2,ทับคล้อ,,,
พิจิตร,2,ดงเจริญ,,,
พิจิตร,2,วังทรายพูน,,,
พิจิตร,2,สากเหล็ก,,,
พิจิตร,3,โพทะเล,,,
พิจิตร,3,บางมูลนาก,,,
พิจิตร,3,บึงนาราง,,,
พิจิตร,3,โพธิ์ประทับช้าง,,,
