จังหวัด,เขต,อำเภอ,ตำบล,flag,optional
กาญจนบุรี,3,พนมทวน,หนองโรง,ยกเว้น,
กาญจนบุรี,3,พนมทวน,ทุ่งสมอ,ยกเว้น,
กาญจนบุรี,3,พนมทวน,ดอนเจดีย์,ยกเว้น,
กาญจนบุรี,3,พนมทวน,หนองสาหร่าย,ยกเว้น,
กาญจนบุรี,4,เลาขวัญ,,,
กาญจนบุรี,4,ห้วยกระเจา,,,
กาญจนบุรี,4,บ่อพลอย,หนองกุ่ม,ยกเว้น,
กาญจนบุรี,4,หนองปรือ,,,
กาญจนบุรี,5,ทองผาภูมิ,,,
กาญจนบุรี,5,สังขละบุรี,,,
กาญจนบุรี,5,ไทรโยค,,,
กาญจนบุรี,5,ศรีสวัสดิ์,,,
กาญจนบุรี,5,เมืองกาญจนบุรี,บ้านเก่า,เฉพาะ,
นราธิวาส,1,เมืองนราธิวาส,,,
นราธิวาส,1,ยี่งอ,,,
นราธิวาส,2,ตากใบ,,,
นราธิวาส,2,สุไหงโก-ลก,,,
นราธิวาส,3,แว้ง,,,
นราธิวาส,3,สุไหงปาดี,,,
นราธิวาส,3,เจาะไอร้อง,,,
นราธิวาส,4,ระแงะ,,,
นราธิวาส,4,จะแนะ,,,
นราธิวาส,4,สุคิริน,,,
นราธิวาส,5,บาเจาะ,,,
นราธิวาส,5,รือเสาะ,,,
นราธิวาส,5,ศรีสาคร,,,
ปัตตานี,1,เมืองปัตตานี,,,
ปัตตานี,2,หนองจิก,,,
ปัตตานี,2,โคกโพธิ์,,,
ปัตตานี,3,ยะรัง,,,
ปัตตานี,3,แม่ลาน,,,
ปัตตานี,3,ทุ่งยางแดง,,,
ปัตตานี,4,สายบุรี,,,
ปัตตานี,4,ไม้แก่น,,,
ปัตตานี,4,กะพ้อ,,,
ปัตตานี,4,ปะนาเระ,,,
ปัตตานี,5,ยะหริ่ง,,,
ปัตตานี,5,มายอ,,,
พระนครศรีอยุธยา,1,บางบาล,,,
พระนครศรีอยุธยา,1,พระนครศรีอยุธยา,,,
พระนครศรีอยุธยา,2,ท่าเรือ,,,
พระนครศรีอยุธยา,2,นครหลวง,,,
พระนครศรีอยุธยา,2,บางปะหัน,,,
พระนครศรีอยุธยา,2,บ้านแพรก,,,
พระนครศรีอยุธยา,2,มหาราช,,,
พระนครศรีอยุธยา,3,วังน้อย,,,
พระนครศรีอยุธยา,3,ภาชี,,,
พระนครศรีอยุธยา,3,อุทัย,,,
พระนครศรีอยุธยา,4,บางไทร,,,
พระนครศรีอยุธยา,4,บางปะอิน,,,
พระนครศรีอยุธยา,5,บางซ้าย,,,
พระนครศรีอยุธยา,5,ผักไห่,,,
พระนครศรีอยุธยา,5,ลาดบัวหลวง,,,
พระนครศรีอยุธยา,5,เสนา,,,
พิษณุโลก,1,เมืองพิษณุโลก,ในเมือง,เฉพาะ,เทศบาลนครพิษณุโลก
พิษณุโลก,1,เมืองพิษณุโลก,วังน้ำคู้,เฉพาะ,
พิษณุโลก,1,เมืองพิษณุโลก,วัดจันทร์,เฉพาะ,
พิษณุโลก,1,เมืองพิษณุโลก,วัดพริก,เฉพาะ,
พิษณุโลก,1,เมืองพิษณุโลก,ท่าทอง,เฉพาะ,
พิษณุโลก,1,เมืองพิษณุโลก,บ้านคลอง,เฉพาะ,
พิษณุโลก,1,เมืองพิษณุโลก,บึงพระ,เฉพาะ,
พิษณุโลก,1,เมืองพิษณุโลก,อรัญญิก,เฉพาะ,เทศบาลเมืองอรัญญิก
พิษณุโลก,1,เมืองพิษณุโลก,พลายชุมพล,เฉพาะ,เทศบาลตำบลพลายชุมพล
พิษณุโลก,2,พรหมพิราม,พรหมพิราม,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,ท่าช้าง,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,วงฆ้อง,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,มะตูม,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,หอกลอง,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,ศรีภิรมย์,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,ตลุกเทียม,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,วังวน,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,หนองแขม,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,มะต้อง,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,ทับยายเชียง,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,ดงประคำ,เฉพาะ,
พิษณุโลก,2,พรหมพิราม,เทศบาลตำบลวงฆ้อง,เฉพาะ,วงฆ้อง
พิษณุโลก,2,พรหมพิราม,เทศบาลตำบลวงฆ้อง,เฉพาะ,มะต้อง
พิษณุโลก,2,พรหมพิราม,เทศบาลตำบลวงฆ้อง,เฉพาะ,เทศบาลตำบลพรหมพิราม
พิษณุโลก,2,เมืองพิษณุโลก,สมอแข,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,ดอนทอง,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,บ้านป่า,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,ปากโทก,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,หัวรอ,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,จอมทอง,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,บ้านกร่าง,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,มะขามสูง,เฉพาะ,
พิษณุโลก,2,เมืองพิษณุโลก,ไผ่ขอดอน,เฉพาะ,
พิษณุโลก,3,วังทอง,วังทอง,เฉพาะ,
พิษณุโลก,3,วังทอง,พันชาลี,เฉพาะ,
พิษณุโลก,3,วังทอง,แม่ระกา,เฉพาะ,
พิษณุโลก,3,วังทอง,บ้านกลาง,เฉพาะ,
พิษณุโลก,3,วังทอง,วังพิกุล,เฉพาะ,
พิษณุโลก,3,วังทอง,แก่งโสภา,เฉพาะ,
พิษณุโลก,3,วังทอง,ท่าหมื่นราม,เฉพาะ,
พิษณุโลก,3,วังทอง,วังนกแอ่น,เฉพาะ,
พิษณุโลก,3,วังทอง,หนองพระ,เฉพาะ,
พิษณุโลก,3,วังทอง,ชัยนาม,เฉพาะ,
พิษณุโลก,3,วังทอง,ดินทอง,เฉพาะ,
พิษณุโลก,3,วังทอง,เทศบาลตำบลวังทอง,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,ชมพู,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,วังโพรง,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,บ้านน้อยซุ้มขี้เ,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,เนินมะปราง,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,วังยาง,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,บ้านมุง,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,เทศบาลตำบลบ้านมุง,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,ไทรย้อย,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,เทศบาลตำบลไทรย้อย,เฉพาะ,
พิษณุโลก,3,เนินมะปราง,เทศบาลตำบลเนินมะปราง,เฉพาะ,
พิษณุโลก,4,บางระกำ,บางระกำ,เฉพาะ,
พิษณุโลก,4,บางระกำ,วังอิทก,เฉพาะ,
พิษณุโลก,4,บางระกำ,บึงกอก,เฉพาะ,
พิษณุโลก,4,บางระกำ,หนองกุลา,เฉพาะ,
พิษณุโลก,4,บางระกำ,ชุมแสงสงคราม,เฉพาะ,
พิษณุโลก,4,บางระกำ,นิคมพัฒนา,เฉพาะ,
พิษณุโลก,4,บางระกำ,บ่อทอง,เฉพาะ,
พิษณุโลก,4,บางระกำ,ท่านางงาม,เฉพาะ,
พิษณุโลก,4,บางระกำ,คุยม่วง,เฉพาะ,
พิษณุโลก,4,บางระกำ,พันเสา,เฉพาะ,เทศบาลตำบลพันเสา
พิษณุโลก,4,บางระกำ,พันเสา,เฉพาะ,เทศบาลตำบลบางระกำ
พิษณุโลก,4,บางระกำ,ปลักแรด,เฉพาะ,เทศบาลตำบลปลักแรด
พิษณุโลก,4,บางระกำ,ปลักแรด,เฉพาะ,เทศบาลตำบลบึงระมาณ
พิษณุโลก,4,บางกระทุ่ม,บางกระทุ่ม,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,บ้านไร่,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,โคกสลุด,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,สนามคลี,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,ท่าตาล,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,ไผ่ล้อม,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,นครป่าหมาก,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,เทศบาลตำบลบางกระทุ่ม,เฉพาะ,
พิษณุโลก,4,บางกระทุ่ม,เทศบาลตำบลเนินกุ่ม,เฉพาะ,เนินกุ่ม
พิษณุโลก,4,บางกระทุ่ม,เทศบาลตำบลเนินกุ่ม,เฉพาะ,วัดตายม
พิษณุโลก,4,เมืองพิษณุโลก,ท่าโพธิ์,เฉพาะ,
พิษณุโลก,4,เมืองพิษณุโลก,งิ้วงาม,เฉพาะ,
พิษณุโลก,5,นครไทย,หนองกะท้าว,เฉพาะ,
พิษณุโลก,5,นครไทย,เนินเพิ่ม,เฉพาะ,
พิษณุโลก,5,นครไทย,นาบัว,เฉพาะ,
พิษณุโลก,5,นครไทย,นครชุม,เฉพาะ,
พิษณุโลก,5,นครไทย,น้ำกุ่ม,เฉพาะ,
พิษณุโลก,5,นครไทย,ยางโกลน,เฉพาะ,
พิษณุโลก,5,นครไทย,บ่อโพธิ์,เฉพาะ,
พิษณุโลก,5,นครไทย,บ้านพร้าว,เฉพาะ,
พิษณุโลก,5,นครไทย,ห้วยเฮี้ย,เฉพาะ,
พิษณุโลก,5,นครไทย,บ้านแยง,เฉพาะ,เทศบาลตำบลบ้านแยง
พิษณุโลก,5,นครไทย,นครไทย,เฉพาะ,เทศบาลตำบลนครไทย
พิษณุโลก,5,วัดโบสถ์,วัดโบสถ์,เฉพาะ,
พิษณุโลก,5,วัดโบสถ์,ท่างาม,เฉพาะ,
พิษณุโลก,5,วัดโบสถ์,ท้อแท้,เฉพาะ,
พิษณุโลก,5,วัดโบสถ์,บ้านยาง,เฉพาะ,
พิษณุโลก,5,วัดโบสถ์,หินลาด,เฉพาะ,
พิษณุโลก,5,วัดโบสถ์,คันโช้ง,เฉพาะ,
พิษณุโลก,5,วัดโบสถ์,เทศบาลตำบลวัดโบสถ์,เฉพาะ,วัดโบสถ์
พิษณุโลก,5,วัดโบสถ์,เทศบาลตำบลวัดโบสถ์,เฉพาะ,ท่างาม
พิษณุโลก,5,วัดโบสถ์,เทศบาลตำบลวัดโบสถ์,เฉพาะ,ท้อแท้
พิษณุโลก,5,ชาติตระการ,ป่าแดง,เฉพาะ,
พิษณุโลก,5,ชาติตระการ,ชาติตระการ,เฉพาะ,
พิษณุโลก,5,ชาติตระการ,สวนเมี่ยง,เฉพาะ,
พิษณุโลก,5,ชาติตระการ,บ้านดง,เฉพาะ,
พิษณุโลก,5,ชาติตระการ,บ่อภาค,เฉพาะ,
พิษณุโลก,5,ชาติตระการ,ท่าสะแก,เฉพาะ,
ระยอง,1,เมืองระยอง,เทศบาลเมืองมาบตาพุด,เฉพาะ,
ระยอง,1,เมืองระยอง,เทศบาลตำบลเนินพระ,เฉพาะ,
ระยอง,1,เมืองระยอง,เทศบาลตำบลทับมา,เฉพาะ,
ระยอง,1,เมืองระยอง,เทศบาลตำบลน้ำคอก,เฉพาะ,
ระยอง,1,เมืองระยอง,นาตาขวัญ,เฉพาะ,
ระยอง,1,เมืองระยอง,บ้านแลง,เฉพาะ,
ระยอง,1,นิคมพัฒนา,เทศบาลเมืองมาบตาพุด,เฉพาะ,
ระยอง,1,บ้านค่าย,ตาขัน,เฉพาะ,
ระยอง,2,เมืองระยอง,เทศบาลเมืองมาบตาพุด,ยกเว้น,
ระยอง,2,เมืองระยอง,เทศบาลตำบลเนินพระ,ยกเว้น,
ระยอง,2,เมืองระยอง,เทศบาลตำบลทับมา,ยกเว้น,
ระยอง,2,เมืองระยอง,เทศบาลตำบลน้ำคอก,ยกเว้น,
ระยอง,2,เมืองระยอง,นาตาขวัญ,ยกเว้น,
ระยอง,2,เมืองระยอง,บ้านแลง,ยกเว้น,
ระยอง,3,แกลง,,,
ระยอง,3,เขาชะเมา,,,
ระยอง,4,บ้านค่าย,ตาขัน,ยกเว้น,
ระยอง,4,วังจันทร์,,,
ระยอง,4,ปลวกแดง,แม่น้ำคู้,ยกเว้น,
ระยอง,5,บ้านฉาง,,,
ระยอง,5,นิคมพัฒนา,เทศบาลเมืองมาบตาพุด,ยกเว้น,
ระยอง,5,ปลวกแดง,แม่น้ำคู้,เฉพาะ,
ราชบุรี,1,เมืองราชบุรี,ห้วยไผ่,,
ราชบุรี,1,เมืองราชบุรี,ดอนแร่,,
ราชบุรี,1,เมืองราชบุรี,อ่างทอง,,
ราชบุรี,2,เมืองราชบุรี,ห้วยไผ่,,
ราชบุรี,2,เมืองราชบุรี,ดอนแร่,,
ราชบุรี,2,เมืองราชบุรี,อ่างทอง,,
ราชบุรี,2,ปากท่อ,,,
ราชบุรี,2,วัดเพลง,,,
ราชบุรี,2,บ้านคา,,,
ราชบุรี,3,โพธาราม,บ้านฆ้อง,ยกเว้น,
ราชบุรี,3,โพธาราม,บ้านสิงห์,ยกเว้น,
ราชบุรี,3,โพธาราม,ดอนทราย,ยกเว้น,
ราชบุรี,3,จอมบึง,,,
ราชบุรี,4,บ้านโป่ง,,,
ราชบุรี,5,ดำเนินสะดวก,,,
ราชบุรี,5,บางแพ,,,
ราชบุรี,5,โพธาราม,บ้านฆ้อง,เฉพาะ,
ราชบุรี,5,โพธาราม,บ้านสิงห์,เฉพาะ,
ราชบุรี,5,โพธาราม,ดอนทราย,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,เทศบาลเมืองลพบุรี,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,เทศบาลเมืองเขาสามยอด,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,เทศบาลตำบลถนนใหญ่,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,เทศบาลตำบลกกโก,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,เทศบาลตำบลป่าตาล,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,ทะเลชุบศร,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,ท่าแค,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,โคกกะเทียม,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,พรหมมาสตร์,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,โพธิ์เก้าต้น,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,บางขันหมาก,เฉพาะ,
ลพบุรี,1,เมืองลพบุรี,โคกลำพาน,เฉพาะ,
ลพบุรี,2,เมืองลพบุรี,เทศบาลตำบลเขาพระงาม,เฉพาะ,
ลพบุรี,2,เมืองลพบุรี,เทศบาลตำบลท่าศาลา,เฉพาะ,
ลพบุรี,2,เมืองลพบุรี,เทศบาลตำบลโคกตูม,เฉพาะ,
ลพบุรี,2,โคกสำโรง,ห้วยโป่ง,เฉพาะ,
ลพบุรี,2,โคกสำโรง,หลุมข้าว,เฉพาะ,
ลพบุรี,2,พัฒนานิคม,,,
ลพบุรี,3,เมืองลพบุรี,ดอนโพธิ์,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,โก่งธนู,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,งิ้วราย,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,ตะลุง,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,โพธิ์ตรุ,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,ท้ายตลาด,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,บ้านข่อย,เฉพาะ,
ลพบุรี,3,เมืองลพบุรี,สี่คลอง,เฉพาะ,
ลพบุรี,3,ท่าวุ้ง,,,
ลพบุรี,3,บ้านหมี่,,,
ลพบุรี,4,โคกสำโรง,ห้วยโป่ง,ยกเว้น,
ลพบุรี,4,โคกสำโรง,หลุมข้าว,ยกเว้น,
ลพบุรี,4,หนองม่วง,,,
ลพบุรี,4,สระโบสถ์,,,
ลพบุรี,4,โคกเจริญ,,,
ลพบุรี,5,ชัยบาดาล,,,
ลพบุรี,5,ท่าหลวง,,,
ลพบุรี,5,ลำสนธิ,,,
สุพรรณบุรี,1,เมืองสุพรรณบุรี,,,
สุพรรณบุรี,2,บางปลาม้า,,,
สุพรรณบุรี,2,สองพี่น้อง,เทศบาลเมืองสองพี่น้อง,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,บางตาเถร,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,บางเลน,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,ศรีสำราญ,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,ดอนมะนาว,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,บ้านกุ่ม,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,หัวโพธิ์,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,เนินพระปรางค์,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,บ้านช้าง,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,บางตะเคียน,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,บางพลับ,เฉพาะ,
สุพรรณบุรี,2,สองพี่น้อง,ต้นตาล,เฉพาะ,
สุพรรณบุรี,3,อู่ทอง,,,
สุพรรณบุรี,3,สองพี่น้อง,เทศบาลตำบลเทพา,เฉพาะ,
สุพรรณบุรี,3,สองพี่น้อง,ทุ่งคอก,เฉพาะ,
สุพรรณบุรี,3,สองพี่น้อง,หนองบ่อ,เฉพาะ,
สุพรรณบุรี,3,สองพี่น้อง,บ่อสุพรรณ,เฉพาะ,
สุพรรณบุรี,4,ด่านช้าง,,,
สุพรรณบุรี,4,เดิมบางนางบวช,,,
สุพรรณบุรี,4,หนองหญ้าไซ,แจงงาม,เฉพาะ,
สุพรรณบุรี,4,หนองหญ้าไซ,หนองขาม,เฉพาะ,
สุพรรณบุรี,4,หนองหญ้าไซ,ทัพหลวง,เฉพาะ,
สุพรรณบุรี,4,หนองหญ้าไซ,หนองโพธิ์,เฉพาะ,
สุพรรณบุรี,5,ศรีประจันต์,,,
สุพรรณบุรี,5,สามชุก,,,
สุพรรณบุรี,5,ดอนเจดีย์,,,
สุพรรณบุรี,5,หนองหญ้าไซ,เทศบาลตำบลหนองหญ้าไซ,เฉพาะ,
สุพรรณบุรี,5,หนองหญ้าไซ,หนองหญ้าไซ,เฉพาะ,
สุพรรณบุรี,5,หนองหญ้าไซ,หนองราชวัตร,เฉพาะ,
กาฬสินธุ์,1,เมืองกาฬสินธุ์,,,
กาฬสินธุ์,1,สมเด็จ,หนองแวง,เฉพาะ,
กาฬสินธุ์,1,นามน,ยอดแกง,เฉพาะ,
กาฬสินธุ์,2,ยางตลาด,,,
กาฬสินธุ์,2,ฆ้องชัย,,,
กาฬสินธุ์,3,หนองกุงศรี,,,
กาฬสินธุ์,3,ห้วยเม็ก,,,
กาฬสินธุ์,3,ท่าคันโท,,,
กาฬสินธุ์,4,สมเด็จ,หนองแวง,ยกเว้น,
กาฬสินธุ์,4,สหัสขันธ์,,,
กาฬสินธุ์,4,สามชัย,,,
กาฬสินธุ์,4,คำม่วง,,,
กาฬสินธุ์,5,ห้วยผึ้ง,,,
กาฬสินธุ์,5,นามน,ยอดแกง,ยกเว้น,
กาฬสินธุ์,5,ดอนจาน,,,
กาฬสินธุ์,5,ร่องคำ,,,
กาฬสินธุ์,5,กมลาไสย,,,
กาฬสินธุ์,6,กุฉินารายณ์,,,
กาฬสินธุ์,6,เขาวง,,,
กาฬสินธุ์,6,นาคู,,,
นครปฐม,1,เมืองนครปฐม,หนองดินแดง,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,สระกะเทียม,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,สวนป่าน,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,วังเย็น,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,พระประโทน,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,บางแขม,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,ดอนยายหอม,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,สามควายเผือก,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,ธรรมศาลา,เฉพาะ,
นครปฐม,1,เมืองนครปฐม,ถนนขาด,เฉพาะ,
นครปฐม,1,สามพราน,ตลาดจินดา,เฉพาะ,
นครปฐม,1,สามพราน,คลองจินดา,เฉพาะ,
นครปฐม,1,สามพราน,บางช้าง,เฉพาะ,
นครปฐม,1,สามพราน,คลองใหม่,เฉพาะ,
นครปฐม,1,สามพราน,ท่าตลาด,เฉพาะ,
นครปฐม,1,สามพราน,หอมเกร็ด,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,ทุ่งน้อย,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,สนามจันทร์,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,นครปฐม,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,วังตะกู,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,หนองปากโลง,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,โพรงมะเดื่อ,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,ลำพยา,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,ห้วยจรเข้,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,บ้านยาง,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,บ่อพลับ,เฉพาะ,
นครปฐม,2,เมืองนครปฐม,พระปฐมเจดีย์,เฉพาะ,
นครปฐม,3,เมืองนครปฐม,ทัพหลวง,เฉพาะ,
นครปฐม,3,เมืองนครปฐม,ตาก้อง,เฉพาะ,
นครปฐม,3,เมืองนครปฐม,หนองงูเหลือม,เฉพาะ,
นครปฐม,3,เมืองนครปฐม,มาบแค,เฉพาะ,
นครปฐม,3,กำแพงแสน,กระตีบ,เฉพาะ,
นครปฐม,3,กำแพงแสน,ทุ่งลูกนก,เฉพาะ,
นครปฐม,3,กำแพงแสน,ทุ่งกระพังโหม,เฉพาะ,
นครปฐม,3,กำแพงแสน,ทุ่งบัว,เฉพาะ,
นครปฐม,3,กำแพงแสน,ห้วยขวาง,เฉพาะ,
นครปฐม,3,กำแพงแสน,ทุ่งขวาง,เฉพาะ,
นครปฐม,3,กำแพงแสน,ห้วยหมอนทอง,เฉพาะ,
นครปฐม,3,กำแพงแสน,กำแพงแสน,เฉพาะ,
นครปฐม,3,กำแพงแสน,รางพิกุล,เฉพาะ,
นครปฐม,3,กำแพงแสน,หนองกระทุ่ม,เฉพาะ,
นครปฐม,3,กำแพงแสน,วังน้ำเขียว,เฉพาะ,
นครปฐม,3,กำแพงแสน,ดอนข่อย,เฉพาะ,
นครปฐม,3,กำแพงแสน,สระสี่มุม,เฉพาะ,
นครปฐม,4,ดอนตูม,,,
นครปฐม,4,บางเลน,,,
นครปฐม,4,กำแพงแสน,กระตีบ,ยกเว้น,
นครปฐม,4,กำแพงแสน,ทุ่งลูกนก,ยกเว้น,
นครปฐม,4,กำแพงแสน,ทุ่งกระพังโหม,ยกเว้น,
นครปฐม,4,กำแพงแสน,ทุ่งบัว,ยกเว้น,
นครปฐม,4,กำแพงแสน,ห้วยขวาง,ยกเว้น,
นครปฐม,4,กำแพงแสน,ทุ่งขวาง,ยกเว้น,
นครปฐม,4,กำแพงแสน,ห้วยหมอนทอง,ยกเว้น,
นครปฐม,4,กำแพงแสน,กำแพงแสน,ยกเว้น,
นครปฐม,4,กำแพงแสน,รางพิกุล,ยกเว้น,
นครปฐม,4,กำแพงแสน,หนองกระทุ่ม,ยกเว้น,
นครปฐม,4,กำแพงแสน,วังน้ำเขียว,ยกเว้น,
นครปฐม,4,กำแพงแสน,ดอนข่อย,ยกเว้น,
นครปฐม,4,กำแพงแสน,สระสี่มุม,ยกเว้น,
นครปฐม,5,นครชัยศรี,,,
นครปฐม,5,พุทธมณฑล,,,
นครปฐม,6,สามพราน,ตลาดจินดา,ยกเว้น,
นครปฐม,6,สามพราน,คลองจินดา,ยกเว้น,
นครปฐม,6,สามพราน,บางช้าง,ยกเว้น,
นครปฐม,6,สามพราน,คลองใหม่,ยกเว้น,
นครปฐม,6,สามพราน,ท่าตลาด,ยกเว้น,
นครปฐม,6,สามพราน,หอมเกร็ด,ยกเว้น,
นครสวรรค์,1,เมืองนครสวรรค์,บ้านมะเกลือ,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,บางพระหลวง,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,บางม่วง,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,วัดไทร,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,บึงเสนาท,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,เกรียงไกร,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,แควใหญ่,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,ปากน้ำโพ,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,นครสวรรค์ตก,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,นครสวรรค์ออก,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,ตะเคียนเลื่อน,เฉพาะ,
นครสวรรค์,1,เมืองนครสวรรค์,กลางแดด,เฉพาะ,
นครสวรรค์,2,เมืองนครสวรรค์,บ้านแก่ง,เฉพาะ,
นครสวรรค์,2,เมืองนครสวรรค์,พระนอน,เฉพาะ,
นครสวรรค์,2,เมืองนครสวรรค์,หนองกรด,เฉพาะ,
นครสวรรค์,2,เมืองนครสวรรค์,หนองกระโดน,เฉพาะ,
นครสวรรค์,2,เมืองนครสวรรค์,หนองปลิง,เฉพาะ,
นครสวรรค์,2,พยุหะคีรี,,,
นครสวรรค์,2,โกรกพระ,,,
นครสวรรค์,3,บรรพตพิสัย,,,
นครสวรรค์,3,ชุมแสง,,,
นครสวรรค์,3,เก้าเลี้ยว,,,
นครสวรรค์,4,หนองบัว,,,
นครสวรรค์,4,ไพศาลี,โคกเดื่อ,เฉพาะ,
นครสวรรค์,4,ไพศาลี,วังน้ำลัด,เฉพาะ,
นครสวรรค์,4,ไพศาลี,วังข่อย,เฉพาะ,
นครสวรรค์,4,ไพศาลี,นาขอม,เฉพาะ,
นครสวรรค์,4,ไพศาลี,ไพศาลี,เฉพาะ,
นครสวรรค์,4,ท่าตะโก,,,
นครสวรรค์,5,ตาคลี,,,
นครสวรรค์,5,ตากฟ้า,,,
นครสวรรค์,5,ไพศาลี,ตะคร้อ,เฉพาะ,
นครสวรรค์,5,ไพศาลี,สำโรงชัย,เฉพาะ,
นครสวรรค์,5,ไพศาลี,โพธิ์ประสาท,เฉพาะ,
นครสวรรค์,6,ลาดยาว,,,
นครสวรรค์,6,แม่วงก์,,,
นครสวรรค์,6,แม่เปิน,,,
นครสวรรค์,6,ชุมตาบง,,,
เพชรบูรณ์,1,เมืองเพชรบูรณ์,เทศบาลเมืองเพชรบูรณ์,เฉพาะ,
เพชรบูรณ์,1,เมืองเพชรบูรณ์,ชอนไพร,เฉพาะ,
